Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:01:08.7288,69.6819192307799,-6.75093130886137,-19.8556803201805,-0.0387057416731249,51.7080632229553
00:01:08.7667,69.6820377121919,-6.73992517107818,-19.8233093267005,-0.0386838131845073,51.6562190013058
00:01:08.8047,69.6821560880643,-6.73789725988906,-19.8173448820267,-0.0386896043245045,51.6043834807138
00:01:08.8677,69.6823526761401,-6.73762721891977,-19.8165506438817,-0.0387089076592451,51.5182541526574
00:01:08.9307,69.6825491424966,-6.73203125586211,-19.8000919290062,-0.0387118461261357,51.4321085960849
00:01:09.0000,69.6827647688474,-6.72222748822193,-19.7712573182998,-0.0387038199531372,51.3374607521924
00:01:09.0092,69.6827934346485,-6.71306106560526,-19.7442972517802,-0.0386783305026687,51.3248656714568
00:01:09.0184,69.6828220379392,-6.69366952164407,-19.6872632989531,-0.0386210523266447,51.3122844350222
00:01:09.0276,69.6828505451041,-6.66729644906502,-19.6096954384265,-0.0385420464184319,51.2997250199304
00:01:09.0388,69.6828851663186,-6.63304086597233,-19.508943723448,-0.0384391407818789,51.2844390127114
00:01:09.0552,69.6829353342262,-6.5919991427484,-19.3882327727894,-0.0383166820355772,51.2622295991106
00:01:09.0716,69.6829852652543,-6.5687313015201,-19.3197979456474,-0.0382494114862515,51.2400734081794
00:01:09.0932,69.6830508169651,-6.56607316344748,-19.3119798924926,-0.0382478283379122,51.2109569036599
00:01:09.1147,69.6831164282708,-6.58314213356576,-19.3621827457817,-0.0383076962259862,51.1818211264553
00:01:09.1363,69.6831822066818,-6.60328825154772,-19.4214360339639,-0.0383772477021076,51.1526404989996
00:01:09.1578,69.6832481284772,-6.61427892516226,-19.4537615445949,-0.0384183513646405,51.1234206043215
00:01:09.1843,69.683329213434,-6.61146916312267,-19.4454975385961,-0.0384180296110155,51.0874812926961
00:01:09.2188,69.6834347030619,-6.59551776105412,-19.3985816501592,-0.038379230392736,51.0406840179181
00:01:09.2533,69.6835399883208,-6.58210298871536,-19.3591264373981,-0.0383483046284552,50.9939220412989
00:01:09.2879,69.6836451519969,-6.57872243938539,-19.3491836452512,-0.0383487417958088,50.9471756340489
00:01:09.3377,69.6837969700462,-6.58074011355406,-19.3551179810414,-0.0383710376871552,50.8796624278084
00:01:09.3875,69.6839487604616,-6.5791342488891,-19.3503948496738,-0.0383820760016167,50.8121276162563
00:01:09.4373,69.6841004429232,-6.57188919154813,-19.3290858574945,-0.0383754713979064,50.7445903167536
00:01:09.5000,69.6842907834728,-6.56295295789602,-19.3028028173412,-0.0383677338939371,50.6597555334912
00:01:09.5074,69.6843134103526,-6.55589312720218,-19.2820386094182,-0.038347936572056,50.6496617839834
00:01:09.5149,69.684335996343,-6.54001023478662,-19.2353242199606,-0.038300347150129,50.6395772166321
00:01:09.5223,69.6843585159603,-6.51701467973613,-19.167690234518,-0.0382303379413605,50.629507957654
00:01:09.5314,69.6843858738942,-6.48443228822677,-19.0718596712552,-0.0381306285872373,50.6172504773117
00:01:09.5463,69.6844303124422,-6.4339409821186,-18.9233558297606,-0.0379762680924217,50.597279724293
00:01:09.5611,69.6844744569349,-6.39655107973269,-18.8133855286256,-0.0378630829688423,50.5773771940321
00:01:09.5760,69.6845184156055,-6.37876618529442,-18.7610770155718,-0.0378116166599544,50.5575169107819
